-1.3e-07,0.000102767,0.0334071
-1.298e-07,0.000102767,0.0334071
-1.296e-07,0.000102767,0.0334071
-1.294e-07,0.000102767,0.0334071
-1.292e-07,0.000102767,0.0334071
-1.29e-07,0.000102767,0.0334071
-1.288e-07,0.000102767,0.0334071
-1.286e-07,0.000102767,0.0334071
-1.284e-07,0.000102767,0.0334071
-1.282e-07,0.000893281,0.0334071
-1.28e-07,0.000893281,0.0334071
-1.278e-07,0.000102767,0.0334071
-1.276e-07,0.000102767,0.025502
-1.274e-07,0.000102767,0.025502
-1.272e-07,0.000102767,0.025502
-1.27e-07,0.000102767,0.025502
-1.268e-07,0.000102767,0.025502
-1.266e-07,0.000102767,0.0334071
-1.264e-07,0.000102767,0.0334071
-1.262e-07,0.000102767,0.0334071
-1.26e-07,0.000102767,0.0334071
-1.258e-07,0.000102767,0.0334071
-1.256e-07,0.000102767,0.0334071
-1.254e-07,0.000102767,0.0334071
-1.252e-07,0.000102767,0.0334071
-1.25e-07,0.000102767,0.0334071
-1.248e-07,0.000102767,0.0334071
-1.246e-07,0.000102767,0.0334071
-1.244e-07,0.000102767,0.0334071
-1.242e-07,0.000102767,0.0334071
-1.24e-07,0.000102767,0.0334071
-1.238e-07,0.000102767,0.0334071
-1.236e-07,0.000102767,0.0334071
-1.234e-07,0.000102767,0.0334071
-1.232e-07,0.000102767,0.0334071
-1.23e-07,0.000102767,0.0334071
-1.228e-07,0.000102767,0.0334071
-1.226e-07,0.000102767,0.0334071
-1.224e-07,0.000102767,0.0334071
-1.222e-07,0.000102767,0.0334071
-1.22e-07,0.000102767,0.0334071
-1.218e-07,0.000102767,0.0334071
-1.216e-07,0.000102767,0.0334071
-1.214e-07,0.000102767,0.0334071
-1.212e-07,0.000893281,0.0334071
-1.21e-07,0.000893281,0.0334071
-1.208e-07,0.000893281,0.0334071
-1.206e-07,0.000893281,0.025502
-1.204e-07,0.000893281,0.025502
-1.202e-07,0.000893281,0.025502
-1.2e-07,0.000102767,0.025502
-1.198e-07,0.000102767,0.025502
-1.196e-07,0.000102767,0.0334071
-1.194e-07,0.000102767,0.0334071
-1.192e-07,0.000102767,0.0334071
-1.19e-07,0.000102767,0.0334071
-1.188e-07,0.000102767,0.0334071
-1.186e-07,0.000102767,0.0334071
-1.184e-07,0.000102767,0.0334071
-1.182e-07,0.000102767,0.0334071
-1.18e-07,0.000102767,0.0334071
-1.178e-07,0.000102767,0.0334071
-1.176e-07,0.000102767,0.0334071
-1.174e-07,0.000102767,0.025502
-1.172e-07,0.000102767,0.025502
-1.17e-07,-0.000687747,0.025502
-1.168e-07,0.000102767,0.025502
-1.166e-07,0.000102767,0.025502
-1.164e-07,0.000102767,0.0334071
-1.162e-07,0.000102767,0.0334071
-1.16e-07,0.000102767,0.0334071
-1.158e-07,0.000102767,0.0334071
-1.156e-07,0.000102767,0.0334071
-1.154e-07,0.000102767,0.0334071
-1.152e-07,0.000102767,0.0334071
-1.15e-07,0.000102767,0.0334071
-1.148e-07,0.000102767,0.0334071
-1.146e-07,0.000102767,0.0334071
-1.144e-07,0.000102767,0.0334071
-1.142e-07,0.000102767,0.0334071
-1.14e-07,0.000102767,0.0334071
-1.138e-07,0.000102767,0.0334071
-1.136e-07,0.000102767,0.0334071
-1.134e-07,0.000102767,0.0334071
-1.132e-07,0.000102767,0.0334071
-1.13e-07,0.000893281,0.0413123
-1.128e-07,0.000893281,0.0413123
-1.126e-07,0.000893281,0.0413123
-1.124e-07,0.000893281,0.0413123
-1.122e-07,0.000893281,0.0413123
-1.12e-07,0.000893281,0.0334071
-1.118e-07,0.000102767,0.0334071
-1.116e-07,0.000102767,0.0334071
-1.114e-07,0.000102767,0.0334071
-1.112e-07,0.000893281,0.0334071
-1.11e-07,0.000893281,0.0334071
-1.108e-07,0.000893281,0.0334071
-1.106e-07,0.000102767,0.0334071
-1.104e-07,0.000102767,0.0334071
-1.102e-07,0.000102767,0.0334071
-1.1e-07,0.000893281,0.0334071
-1.098e-07,0.000102767,0.0334071
-1.096e-07,0.000102767,0.0334071
-1.094e-07,0.000102767,0.0334071
-1.092e-07,0.000102767,0.0334071
-1.09e-07,0.000893281,0.0334071
-1.088e-07,0.000893281,0.0334071
-1.086e-07,0.000893281,0.0334071
-1.084e-07,0.000893281,0.0334071
-1.082e-07,0.000893281,0.0334071
-1.08e-07,0.000893281,0.0334071
-1.078e-07,0.000102767,0.0334071
-1.076e-07,0.000893281,0.0334071
-1.074e-07,0.000893281,0.0334071
-1.072e-07,0.000102767,0.0334071
-1.07e-07,0.000102767,0.0334071
-1.068e-07,0.000102767,0.0334071
-1.066e-07,0.000102767,0.0334071
-1.064e-07,0.000102767,0.0334071
-1.062e-07,0.000102767,0.0334071
-1.06e-07,0.000102767,0.025502
-1.058e-07,0.000102767,0.025502
-1.056e-07,0.000102767,0.025502
-1.054e-07,0.000102767,0.025502
-1.052e-07,0.000102767,0.0334071
-1.05e-07,0.000102767,0.0334071
-1.048e-07,0.000102767,0.0334071
-1.046e-07,0.000102767,0.0334071
-1.044e-07,-0.000687747,0.0334071
-1.042e-07,0.000102767,0.025502
-1.04e-07,0.000102767,0.025502
-1.038e-07,0.000102767,0.0334071
-1.036e-07,0.000102767,0.0334071
-1.034e-07,0.000102767,0.0334071
-1.032e-07,0.000102767,0.0334071
-1.03e-07,0.000102767,0.025502
-1.028e-07,0.000102767,0.025502
-1.026e-07,0.000102767,0.025502
-1.024e-07,0.000102767,0.0334071
-1.022e-07,0.000102767,0.0334071
-1.02e-07,0.000102767,0.0334071
-1.018e-07,0.000102767,0.0334071
-1.016e-07,0.000102767,0.0334071
-1.014e-07,0.000893281,0.0334071
-1.012e-07,0.000893281,0.0334071
-1.01e-07,0.000893281,0.0334071
-1.008e-07,0.000893281,0.0334071
-1.006e-07,0.000893281,0.0334071
-1.004e-07,0.000893281,0.0334071
-1.002e-07,0.000893281,0.0334071
-1e-07,0.000893281,0.0334071
-9.98e-08,0.000893281,0.0334071
-9.96e-08,0.000893281,0.0334071
-9.94e-08,0.000893281,0.0334071
-9.92e-08,0.000893281,0.0334071
-9.9e-08,0.000893281,0.0334071
-9.88e-08,0.000102767,0.0334071
-9.86e-08,0.000102767,0.0334071
-9.84e-08,0.000102767,0.0334071
-9.82e-08,0.000102767,0.0334071
-9.8e-08,0.000102767,0.0334071
-9.78e-08,0.000102767,0.025502
-9.76e-08,0.000102767,0.025502
-9.74e-08,0.000102767,0.025502
-9.72e-08,0.000102767,0.025502
-9.7e-08,0.000102767,0.025502
-9.68e-08,0.000102767,0.025502
-9.66e-08,0.000102767,0.0334071
-9.64e-08,0.000102767,0.0334071
-9.62e-08,0.000102767,0.0334071
-9.6e-08,0.000893281,0.0334071
-9.58e-08,0.000893281,0.0334071
-9.56e-08,0.000893281,0.0334071
-9.54e-08,0.000893281,0.0334071
-9.52e-08,0.000102767,0.0334071
-9.5e-08,0.000102767,0.0334071
-9.48e-08,0.000102767,0.0334071
-9.46e-08,0.000102767,0.0334071
-9.44e-08,0.000102767,0.0334071
-9.42e-08,0.000102767,0.0334071
-9.4e-08,0.000102767,0.0334071
-9.38e-08,0.000893281,0.0334071
-9.36e-08,0.000893281,0.025502
-9.34e-08,0.000893281,0.025502
-9.32e-08,0.000102767,0.025502
-9.3e-08,0.000102767,0.025502
-9.28e-08,0.000102767,0.025502
-9.26e-08,0.000102767,0.0334071
-9.24e-08,0.000102767,0.0334071
-9.22e-08,-0.000687747,0.0334071
-9.2e-08,0.000102767,0.0334071
-9.18e-08,0.000102767,0.0334071
-9.16e-08,0.000102767,0.0334071
-9.14e-08,0.000102767,0.0334071
-9.12e-08,0.000102767,0.0334071
-9.1e-08,0.000102767,0.0334071
-9.08e-08,0.000102767,0.0334071
-9.06e-08,0.000102767,0.0334071
-9.04e-08,0.000102767,0.0334071
-9.02e-08,0.000102767,0.025502
-9e-08,0.000102767,0.025502
-8.98e-08,0.000102767,0.025502
-8.96e-08,0.000102767,0.025502
-8.94e-08,0.000102767,0.025502
-8.92e-08,0.000102767,0.0334071
-8.9e-08,0.000102767,0.0334071
-8.88e-08,0.000102767,0.0334071
-8.86e-08,0.000102767,0.0334071
-8.84e-08,0.000102767,0.0334071
-8.82e-08,0.000102767,0.0334071
-8.8e-08,0.000102767,0.0334071
-8.78e-08,0.000102767,0.0334071
-8.76e-08,0.000102767,0.0334071
-8.74e-08,0.000102767,0.0334071
-8.72e-08,0.000102767,0.025502
-8.7e-08,0.000102767,0.025502
-8.68e-08,0.000102767,0.025502
-8.66e-08,0.000102767,0.025502
-8.64e-08,0.000102767,0.025502
-8.62e-08,0.000102767,0.025502
-8.6e-08,0.000893281,0.025502
-8.58e-08,0.000893281,0.025502
-8.56e-08,0.000893281,0.025502
-8.54e-08,0.000893281,0.025502
-8.52e-08,0.000893281,0.025502
-8.5e-08,0.000893281,0.025502
-8.48e-08,0.000102767,0.025502
-8.46e-08,0.000102767,0.025502
-8.44e-08,0.000102767,0.025502
-8.42e-08,0.000102767,0.025502
-8.4e-08,0.000102767,0.025502
-8.38e-08,0.000102767,0.0334071
-8.36e-08,0.000102767,0.0334071
-8.34e-08,0.000102767,0.0334071
-8.32e-08,0.000102767,0.0334071
-8.3e-08,0.000102767,0.0334071
-8.28e-08,0.000102767,0.0334071
-8.26e-08,0.000102767,0.0334071
-8.24e-08,0.000893281,0.0334071
-8.22e-08,0.000893281,0.025502
-8.2e-08,0.000893281,0.025502
-8.18e-08,0.000893281,0.0334071
-8.16e-08,0.000893281,0.0334071
-8.14e-08,0.000893281,0.0334071
-8.12e-08,0.000893281,0.0334071
-8.1e-08,0.000893281,0.0334071
-8.08e-08,0.000102767,0.0334071
-8.06e-08,0.000102767,0.0334071
-8.04e-08,0.000102767,0.0334071
-8.02e-08,0.000102767,0.0334071
-8e-08,0.000102767,0.0334071
-7.98e-08,0.000102767,0.0334071
-7.96e-08,0.000102767,0.0334071
-7.94e-08,0.000102767,0.0334071
-7.92e-08,0.000102767,0.0334071
-7.9e-08,0.000102767,0.0334071
-7.88e-08,0.000102767,0.0334071
-7.86e-08,0.000893281,0.0334071
-7.84e-08,0.000893281,0.0334071
-7.82e-08,0.000893281,0.0334071
-7.8e-08,0.000893281,0.0334071
-7.78e-08,0.000893281,0.0334071
-7.76e-08,0.000102767,0.0334071
-7.74e-08,0.000893281,0.0334071
-7.72e-08,0.000893281,0.025502
-7.7e-08,0.000893281,0.025502
-7.68e-08,0.000893281,0.0334071
-7.66e-08,0.000893281,0.0334071
-7.64e-08,0.000893281,0.0334071
-7.62e-08,0.000893281,0.0334071
-7.6e-08,0.000102767,0.0334071
-7.58e-08,0.000102767,0.0334071
-7.56e-08,0.000102767,0.0334071
-7.54e-08,0.000102767,0.0334071
-7.52e-08,0.000893281,0.0334071
-7.5e-08,0.000893281,0.0334071
-7.48e-08,0.000893281,0.0334071
-7.46e-08,0.000893281,0.0334071
-7.44e-08,0.000893281,0.025502
-7.42e-08,0.000893281,0.025502
-7.4e-08,0.000893281,0.025502
-7.38e-08,0.000893281,0.025502
-7.36e-08,0.000893281,0.025502
-7.34e-08,0.000893281,0.0334071
-7.32e-08,0.000893281,0.0334071
-7.3e-08,0.000893281,0.0334071
-7.28e-08,0.000893281,0.0334071
-7.26e-08,0.000893281,0.025502
-7.24e-08,0.000102767,0.025502
-7.22e-08,0.000102767,0.0334071
-7.2e-08,0.000102767,0.0334071
-7.18e-08,0.000893281,0.0334071
-7.16e-08,0.000102767,0.0334071
-7.14e-08,0.000102767,0.025502
-7.12e-08,0.000102767,0.025502
-7.1e-08,0.000102767,0.025502
-7.08e-08,0.000102767,0.025502
-7.06e-08,0.000102767,0.0334071
-7.04e-08,0.000102767,0.0334071
-7.02e-08,0.000102767,0.0334071
-7e-08,0.000102767,0.025502
-6.98e-08,0.000102767,0.025502
-6.96e-08,0.000102767,0.025502
-6.94e-08,0.000102767,0.025502
-6.92e-08,0.000102767,0.0334071
-6.9e-08,0.000102767,0.0334071
-6.88e-08,0.000102767,0.0334071
-6.86e-08,0.000102767,0.0334071
-6.84e-08,0.000102767,0.0334071
-6.82e-08,0.000102767,0.0334071
-6.8e-08,0.000102767,0.0334071
-6.78e-08,0.000102767,0.0334071
-6.76e-08,0.000102767,0.0334071
-6.74e-08,0.000102767,0.0334071
-6.72e-08,0.000102767,0.0334071
-6.7e-08,0.000102767,0.0334071
-6.68e-08,0.000102767,0.0334071
-6.66e-08,0.000102767,0.0334071
-6.64e-08,0.000102767,0.0334071
-6.62e-08,0.000102767,0.0413123
-6.6e-08,0.000893281,0.0413123
-6.58e-08,0.000893281,0.0334071
-6.56e-08,0.000893281,0.0334071
-6.54e-08,0.000893281,0.0334071
-6.52e-08,0.000102767,0.0334071
-6.5e-08,0.000102767,0.0334071
-6.48e-08,0.000102767,0.025502
-6.46e-08,0.000102767,0.025502
-6.44e-08,0.000102767,0.025502
-6.42e-08,0.000102767,0.025502
-6.4e-08,0.000102767,0.025502
-6.38e-08,0.000102767,0.025502
-6.36e-08,0.000102767,0.025502
-6.34e-08,0.000102767,0.025502
-6.32e-08,0.000102767,0.025502
-6.3e-08,0.000102767,0.025502
-6.28e-08,0.000102767,0.025502
-6.26e-08,0.000102767,0.025502
-6.24e-08,-0.000687747,0.025502
-6.22e-08,-0.000687747,0.025502
-6.2e-08,-0.000687747,0.025502
-6.18e-08,0.000102767,0.025502
-6.16e-08,0.000102767,0.025502
-6.14e-08,0.000102767,0.025502
-6.12e-08,0.000102767,0.025502
-6.1e-08,0.000102767,0.025502
-6.08e-08,0.000102767,0.025502
-6.06e-08,0.000102767,0.025502
-6.04e-08,0.000893281,0.025502
-6.02e-08,0.000893281,0.025502
-6e-08,0.000893281,0.0334071
-5.98e-08,0.000893281,0.025502
-5.96e-08,0.000893281,0.025502
-5.94e-08,0.000893281,0.025502
-5.92e-08,0.000893281,0.025502
-5.9e-08,0.000893281,0.025502
-5.88e-08,0.000893281,0.025502
-5.86e-08,0.000893281,0.0334071
-5.84e-08,0.000893281,0.0334071
-5.82e-08,0.000893281,0.0334071
-5.8e-08,0.000893281,0.0334071
-5.78e-08,0.000893281,0.0334071
-5.76e-08,0.000893281,0.0334071
-5.74e-08,0.000893281,0.0334071
-5.72e-08,0.000893281,0.0334071
-5.7e-08,0.000893281,0.0334071
-5.68e-08,0.000102767,0.0334071
-5.66e-08,0.000102767,0.0334071
-5.64e-08,0.000102767,0.0334071
-5.62e-08,0.000102767,0.0334071
-5.6e-08,0.000102767,0.0334071
-5.58e-08,0.000102767,0.0334071
-5.56e-08,0.000102767,0.0334071
-5.54e-08,0.000102767,0.0334071
-5.52e-08,0.000102767,0.0334071
-5.5e-08,0.000102767,0.0334071
-5.48e-08,0.000102767,0.0334071
-5.46e-08,0.000102767,0.0334071
-5.44e-08,0.000102767,0.0334071
-5.42e-08,0.000102767,0.0334071
-5.4e-08,0.000102767,0.0334071
-5.38e-08,0.000102767,0.0334071
-5.36e-08,0.000102767,0.0334071
-5.34e-08,0.000893281,0.0334071
-5.32e-08,0.000893281,0.0334071
-5.3e-08,0.000893281,0.0334071
-5.28e-08,0.000893281,0.0334071
-5.26e-08,0.000893281,0.0334071
-5.24e-08,0.000893281,0.0334071
-5.22e-08,0.000893281,0.0334071
-5.2e-08,0.000893281,0.0334071
-5.18e-08,0.000893281,0.0334071
-5.16e-08,0.000893281,0.0334071
-5.14e-08,0.000893281,0.0334071
-5.12e-08,0.000102767,0.0334071
-5.1e-08,0.000102767,0.0334071
-5.08e-08,0.000102767,0.0334071
-5.06e-08,0.000102767,0.0334071
-5.04e-08,0.000102767,0.0334071
-5.02e-08,0.000102767,0.0334071
-5e-08,0.000102767,0.0334071
-4.98e-08,0.000102767,0.0334071
-4.96e-08,0.000102767,0.0334071
-4.94e-08,0.000102767,0.025502
-4.92e-08,0.000102767,0.025502
-4.9e-08,0.000102767,0.0334071
-4.88e-08,0.000102767,0.0334071
-4.86e-08,0.000102767,0.0334071
-4.84e-08,0.000102767,0.0334071
-4.82e-08,0.000893281,0.0334071
-4.8e-08,0.000893281,0.0334071
-4.78e-08,0.000893281,0.0334071
-4.76e-08,0.000893281,0.0334071
-4.74e-08,0.000102767,0.0334071
-4.72e-08,0.000102767,0.0334071
-4.7e-08,0.000102767,0.0334071
-4.68e-08,0.000102767,0.0334071
-4.66e-08,0.000102767,0.0334071
-4.64e-08,0.000102767,0.0334071
-4.62e-08,0.000102767,0.0334071
-4.6e-08,0.000893281,0.0334071
-4.58e-08,0.000893281,0.0334071
-4.56e-08,0.000893281,0.0334071
-4.54e-08,0.000102767,0.025502
-4.52e-08,0.000102767,0.025502
-4.5e-08,0.000102767,0.025502
-4.48e-08,0.000102767,0.025502
-4.46e-08,0.000893281,0.025502
-4.44e-08,0.000893281,0.0334071
-4.42e-08,0.000893281,0.0334071
-4.4e-08,0.000102767,0.0334071
-4.38e-08,0.000102767,0.0334071
-4.36e-08,0.000102767,0.0334071
-4.34e-08,0.000102767,0.0334071
-4.32e-08,0.000893281,0.0334071
-4.3e-08,0.000893281,0.0334071
-4.28e-08,0.000893281,0.0334071
-4.26e-08,0.000893281,0.025502
-4.24e-08,0.000893281,0.025502
-4.22e-08,0.000893281,0.025502
-4.2e-08,0.000893281,0.0334071
-4.18e-08,0.000893281,0.0334071
-4.16e-08,0.000893281,0.0334071
-4.14e-08,0.000893281,0.0334071
-4.12e-08,0.000893281,0.0334071
-4.1e-08,0.000893281,0.0334071
-4.08e-08,0.000102767,0.0334071
-4.06e-08,0.000102767,0.0334071
-4.04e-08,0.000102767,0.0334071
-4.02e-08,0.000102767,0.0334071
-4e-08,0.000102767,0.025502
-3.98e-08,0.000102767,0.025502
-3.96e-08,0.000893281,0.025502
-3.94e-08,0.000893281,0.025502
-3.92e-08,0.000893281,0.025502
-3.9e-08,0.000893281,0.0334071
-3.88e-08,0.000102767,0.0334071
-3.86e-08,0.000893281,0.0334071
-3.84e-08,0.000893281,0.0334071
-3.82e-08,0.000893281,0.0334071
-3.8e-08,0.000893281,0.0334071
-3.78e-08,0.000893281,0.0334071
-3.76e-08,0.000893281,0.0334071
-3.74e-08,0.000893281,0.0334071
-3.72e-08,0.000893281,0.025502
-3.7e-08,0.000893281,0.025502
-3.68e-08,0.000893281,0.0334071
-3.66e-08,0.000893281,0.025502
-3.64e-08,0.000893281,0.025502
-3.62e-08,0.000893281,0.025502
-3.6e-08,0.000102767,0.025502
-3.58e-08,0.000102767,0.025502
-3.56e-08,0.000102767,0.025502
-3.54e-08,0.000102767,0.025502
-3.52e-08,0.000102767,0.025502
-3.5e-08,0.000893281,0.025502
-3.48e-08,0.000893281,0.025502
-3.46e-08,0.000893281,0.025502
-3.44e-08,0.000893281,0.025502
-3.42e-08,0.000893281,0.025502
-3.4e-08,0.000893281,0.025502
-3.38e-08,0.000893281,0.025502
-3.36e-08,0.000893281,0.025502
-3.34e-08,0.000893281,0.025502
-3.32e-08,0.000102767,0.025502
-3.3e-08,0.000102767,0.025502
-3.28e-08,0.000102767,0.025502
-3.26e-08,0.000102767,0.025502
-3.24e-08,0.000102767,0.0334071
-3.22e-08,0.000893281,0.0334071
-3.2e-08,0.000893281,0.0334071
-3.18e-08,0.000893281,0.0334071
-3.16e-08,0.000102767,0.0334071
-3.14e-08,0.000102767,0.0334071
-3.12e-08,0.000102767,0.025502
-3.1e-08,0.000102767,0.025502
-3.08e-08,0.000102767,0.025502
-3.06e-08,0.000102767,0.025502
-3.04e-08,0.000102767,0.025502
-3.02e-08,0.000102767,0.0334071
-3e-08,0.000102767,0.0334071
-2.98e-08,0.000102767,0.0334071
-2.96e-08,0.000102767,0.0334071
-2.94e-08,0.000893281,0.0334071
-2.92e-08,0.000893281,0.0334071
-2.9e-08,0.000102767,0.0334071
-2.88e-08,0.000102767,0.0334071
-2.86e-08,0.000102767,0.0334071
-2.84e-08,0.000102767,0.0334071
-2.82e-08,0.000102767,0.0334071
-2.8e-08,0.000102767,0.0334071
-2.78e-08,0.000102767,0.0334071
-2.76e-08,0.000102767,0.0334071
-2.74e-08,0.000102767,0.0334071
-2.72e-08,0.000102767,0.0334071
-2.7e-08,0.000893281,0.0334071
-2.68e-08,0.000893281,0.0334071
-2.66e-08,0.000893281,0.0334071
-2.64e-08,0.000893281,0.0334071
-2.62e-08,0.000893281,0.0334071
-2.6e-08,0.000893281,0.0334071
-2.58e-08,0.000893281,0.0334071
-2.56e-08,0.000893281,0.0334071
-2.54e-08,0.000893281,0.025502
-2.52e-08,0.000893281,0.025502
-2.5e-08,0.000893281,0.025502
-2.48e-08,0.000893281,0.025502
-2.46e-08,0.000893281,0.025502
-2.44e-08,0.000102767,0.0334071
-2.42e-08,0.000102767,0.025502
-2.4e-08,0.000102767,0.0334071
-2.38e-08,0.000102767,0.0334071
-2.36e-08,0.000102767,0.0334071
-2.34e-08,0.000102767,0.0334071
-2.32e-08,0.000102767,0.0334071
-2.3e-08,0.000102767,0.0334071
-2.28e-08,0.000102767,0.0334071
-2.26e-08,0.000102767,0.0334071
-2.24e-08,0.000102767,0.0334071
-2.22e-08,0.000102767,0.0334071
-2.2e-08,0.000102767,0.0334071
-2.18e-08,0.000102767,0.0334071
-2.16e-08,0.000102767,0.0334071
-2.14e-08,0.000102767,0.025502
-2.12e-08,0.000893281,0.025502
-2.1e-08,0.000893281,0.025502
-2.08e-08,0.000893281,0.025502
-2.06e-08,0.000893281,0.025502
-2.04e-08,0.000102767,0.0334071
-2.02e-08,0.000102767,0.0334071
-2e-08,0.000102767,0.0334071
-1.98e-08,0.000102767,0.0334071
-1.96e-08,0.000102767,0.0334071
-1.94e-08,0.000102767,0.0334071
-1.92e-08,0.000102767,0.0334071
-1.9e-08,0.000102767,0.0334071
-1.88e-08,0.000102767,0.0334071
-1.86e-08,0.000102767,0.0334071
-1.84e-08,0.000102767,0.0334071
-1.82e-08,0.000102767,0.025502
-1.8e-08,0.000893281,0.025502
-1.78e-08,0.000893281,0.0334071
-1.76e-08,0.000893281,0.0334071
-1.74e-08,0.000102767,0.0334071
-1.72e-08,0.000102767,0.0334071
-1.7e-08,0.000893281,0.0334071
-1.68e-08,0.000893281,0.0334071
